date,location,id,url,name
"September 22, 2018","Sao Paulo, Sao Paulo, Brazil",0,http://www.fightmetric.com/event-details/852454c572675334,UFC Fight Night: Marreta vs. Anders
"September 15, 2018","Moscow, Moscow, Russia",1,http://www.fightmetric.com/event-details/8d49545dadf9b919,UFC Fight Night: Hunt vs. Oleinik
"September 08, 2018","Dallas, Texas, USA",2,http://www.fightmetric.com/event-details/d5ae8074631762fc,UFC 228: Woodley vs. Till
"August 25, 2018","Lincoln, Nebraska, USA",3,http://www.fightmetric.com/event-details/c0342805a1948cbb,UFC Fight Night: Gaethje vs. Vick
"August 04, 2018","Los Angeles, California, USA",4,http://www.fightmetric.com/event-details/03b1e846b09f721d,UFC 227: Dillashaw vs. Garbrandt 2
"July 28, 2018","Calgary, Alberta, Canada",5,http://www.fightmetric.com/event-details/322a56923b396b4d,UFC Fight Night: Alvarez vs. Poirier 2
"July 22, 2018","Hamburg, Hamburg, Germany",6,http://www.fightmetric.com/event-details/4f732e58ed907eff,UFC Fight Night: Shogun vs. Smith
"July 14, 2018","Boise, Idaho, USA",7,http://www.fightmetric.com/event-details/b45d6b73f4ca4467,UFC Fight Night: Dos Santos vs. Ivanov
"July 07, 2018","Las Vegas, Nevada, USA",8,http://www.fightmetric.com/event-details/35585d970300d45a,UFC 226: Miocic vs. Cormier
"July 06, 2018","Las Vegas, Nevada, USA",9,http://www.fightmetric.com/event-details/8215e4fe24e8e81b,UFC - TUF 27 Finale
"June 23, 2018","Kallang, Singapore",10,http://www.fightmetric.com/event-details/ac5f67109accb482,UFC Fight Night: Cowboy vs. Edwards
"June 09, 2018","Chicago, Illinois, USA",11,http://www.fightmetric.com/event-details/2eae41f61776c60f,UFC 225: Whittaker vs. Romero 2
"June 01, 2018","Utica, New York, USA",12,http://www.fightmetric.com/event-details/d29b5c4f22c6357d,UFC Fight Night: Rivera vs. Moraes
"May 27, 2018","Liverpool, England, United Kingdom",13,http://www.fightmetric.com/event-details/f5990c11974d8e9c,UFC Fight Night: Thompson vs. Till
"May 19, 2018","Santiago, Chile",14,http://www.fightmetric.com/event-details/3144121470023e9a,UFC Fight Night: Maia vs. Usman
"May 12, 2018","Rio de Janeiro, Rio de Janeiro, Brazil",15,http://www.fightmetric.com/event-details/67ec58d7cf599835,UFC 224: Nunes vs. Pennington
"April 21, 2018","Atlantic City, New Jersey, USA",16,http://www.fightmetric.com/event-details/ad99fa5325519169,UFC Fight Night: Barboza vs. Lee
"April 14, 2018","Glendale, Arizona, USA",17,http://www.fightmetric.com/event-details/620be7e0712d431b,UFC Fight Night: Poirier vs. Gaethje
"April 07, 2018","Brooklyn, New York, USA",18,http://www.fightmetric.com/event-details/49e7e05f902479ca,UFC 223: Khabib vs. Iaquinta
"March 17, 2018","London, England, United Kingdom",19,http://www.fightmetric.com/event-details/eed2b71d77d95416,UFC Fight Night: Werdum vs. Volkov
"March 03, 2018","Las Vegas, Nevada, USA",20,http://www.fightmetric.com/event-details/7929be8290289a47,UFC 222: Cyborg vs. Kunitskaya
"February 24, 2018","Orlando, Florida, USA",21,http://www.fightmetric.com/event-details/daa89f01e1c0f42a,UFC Fight Night: Emmett vs. Stephens
"February 18, 2018","Austin, Texas, USA",22,http://www.fightmetric.com/event-details/d181689653115b6a,UFC Fight Night: Cerrone vs. Medeiros
"February 10, 2018","Perth, Western Australia, Australia",23,http://www.fightmetric.com/event-details/15515e797aedc137,UFC 221: Romero vs. Rockhold
"February 03, 2018","Belem, Para, Brazil",24,http://www.fightmetric.com/event-details/7cf20446453f852b,UFC Fight Night: Machida vs. Anders
"January 27, 2018","Charlotte, North Carolina, USA",25,http://www.fightmetric.com/event-details/602bb270f2bdbf02,UFC Fight Night: Jacare vs. Brunson 2
"January 20, 2018","Boston, Massachusetts, USA",26,http://www.fightmetric.com/event-details/02177caefe7c07d4,UFC 220: Miocic vs. Ngannou
"January 14, 2018","St. Louis, Missouri, USA",27,http://www.fightmetric.com/event-details/fc1868f56d3036eb,UFC Fight Night: Stephens vs. Choi
"December 30, 2017","Las Vegas, Nevada, USA",28,http://www.fightmetric.com/event-details/04076783ca83d6ae,UFC 219: Cyborg vs. Holm
"December 16, 2017","Winnipeg, Manitoba, Canada",29,http://www.fightmetric.com/event-details/eaa0a728cc91ef60,UFC Fight Night: Lawler vs. Dos Anjos
"December 09, 2017","Fresno, California, USA",30,http://www.fightmetric.com/event-details/bcd124bcd3d5be46,UFC Fight Night: Swanson vs. Ortega
"December 02, 2017","Detroit, Michigan, USA",31,http://www.fightmetric.com/event-details/9e30f69cc0869301,UFC 218: Holloway vs. Aldo 2
"December 01, 2017","Las Vegas, Nevada, USA",32,http://www.fightmetric.com/event-details/30e8b4505f5ccf92,The Ultimate Fighter 26 Finale
"November 25, 2017","Shanghai, Hebei, China",33,http://www.fightmetric.com/event-details/e7bc606d269896aa,UFC Fight Night: Bisping vs. Gastelum
"November 18, 2017","Sydney, New South Wales, Australia",34,http://www.fightmetric.com/event-details/caced97768818230,UFC Fight Night: Werdum vs. Tybura
"November 11, 2017","Norfolk, Virginia, USA",35,http://www.fightmetric.com/event-details/d856a0080ac09ed7,UFC Fight Night: Poirier vs. Pettis
"November 04, 2017","New York City, New York, USA",36,http://www.fightmetric.com/event-details/a25b71fe5e31fa97,UFC 217: Bisping vs. St-Pierre
"October 28, 2017","Sao Paulo, Sao Paulo, Brazil",37,http://www.fightmetric.com/event-details/a7724f51e32e763e,UFC Fight Night: Brunson vs. Machida
"October 21, 2017","Gdansk, Poland",38,http://www.fightmetric.com/event-details/d6b68eaf4b68b160,UFC Fight Night: Cerrone vs. Till
"October 07, 2017","Las Vegas, Nevada, USA",39,http://www.fightmetric.com/event-details/cc5834a495d1ea08,UFC 216: Ferguson vs. Lee
"September 22, 2017","Saitama, Saitama, Japan",40,http://www.fightmetric.com/event-details/9211aae062b799d6,UFC Fight Night: Saint Preux vs. Okami
"September 16, 2017","Pittsburgh, Pennsylvania, USA",41,http://www.fightmetric.com/event-details/1979c80150f630c4,UFC Fight Night: Rockhold vs. Branch
