nickname,id,name,url
"""Marreta""",0,Thiago Santos,http://www.fightmetric.com/fighter-details/dea070ed4a2a8281
"""Ya Boi""",1,Eryk Anders,http://www.fightmetric.com/fighter-details/cad24459b28592ca
"""Cowboy""",2,Alex Oliveira,http://www.fightmetric.com/fighter-details/57b10fca4f9c9a7a
"""Semento""",3,Carlo Pedersoli,http://www.fightmetric.com/fighter-details/198994b47f395af0
"""Smile'N""",4,Sam Alvey,http://www.fightmetric.com/fighter-details/d156513a19acf856
"""Minotouro""",5,Rogerio Nogueira,http://www.fightmetric.com/fighter-details/73e09f837f3b5ecc
"""The Baron""",6,Renan Barao,http://www.fightmetric.com/fighter-details/2c99576fefe53c7c
"""Mr. Highlight""",7,Andre Ewell,http://www.fightmetric.com/fighter-details/5f6f049d54728e88
"""Quiet Storm""",8,Randa Markos,http://www.fightmetric.com/fighter-details/4a57ebb14315b251
,9,Marina Rodriguez,http://www.fightmetric.com/fighter-details/cd2c4d30c6e13b47
"""Do Bronx""",10,Charles Oliveira,http://www.fightmetric.com/fighter-details/07225ba28ae309b6
"""The Spartan""",11,Christos Giagos,http://www.fightmetric.com/fighter-details/de45aaae23dfa392
"""Massaranduba""",12,Francisco Trinaldo,http://www.fightmetric.com/fighter-details/a8283a4f415e1eb9
,13,Evan Dunham,http://www.fightmetric.com/fighter-details/e5c9de15bb58b1c6
"""KLB""",14,Luis Henrique,http://www.fightmetric.com/fighter-details/e5bda12faabfc850
"""Superman""",15,Ryan Spann,http://www.fightmetric.com/fighter-details/a67f5afa8d6a1b80
,16,Augusto Sakai,http://www.fightmetric.com/fighter-details/441eacbe20e0e80b
"""The Vanilla Gorilla""",17,Chase Sherman,http://www.fightmetric.com/fighter-details/01b352b6a9074d5c
"""The Panther""",18,Sergio Moraes,http://www.fightmetric.com/fighter-details/1bcaac2d99b90fce
"""Killa B""",19,Ben Saunders,http://www.fightmetric.com/fighter-details/484acc7b0f856ce9
"""Sheetara""",20,Mayra Bueno Silva,http://www.fightmetric.com/fighter-details/cc8c623cca88f54f
"""The Savage""",21,Gillian Robertson,http://www.fightmetric.com/fighter-details/38c7f72747f4f712
,22,Thales Leites,http://www.fightmetric.com/fighter-details/cfb65863d5099327
,23,Hector Lombard,http://www.fightmetric.com/fighter-details/db1f2ed63b54b9a7
"""Capoeira""",24,Elizeu Zaleski dos Santos,http://www.fightmetric.com/fighter-details/8adcbd525fab8d9b
"""The Italian Stallion""",25,Luigi Vendramini,http://www.fightmetric.com/fighter-details/2f1a257d6777096d
"""The Brazilian Gangsta""",26,Livinha Souza,http://www.fightmetric.com/fighter-details/dab8cfbb6b1db10a
"""Astro Girl""",27,Alex Chambers,http://www.fightmetric.com/fighter-details/26b63bc5c0c1f65d
"""Super Samoan""",28,Mark Hunt,http://www.fightmetric.com/fighter-details/eef9b891edbd4604
"""The Boa Constrictor""",29,Aleksei Oleinik,http://www.fightmetric.com/fighter-details/98c23cb6da5b3352
,30,Jan Blachowicz,http://www.fightmetric.com/fighter-details/99df7d0a2a08a8a8
"""The Miner""",31,Nikita Krylov,http://www.fightmetric.com/fighter-details/1091d4d957141094
"""The Pitbull""",32,Andrei Arlovski,http://www.fightmetric.com/fighter-details/3738e68d2261e60f
