id,name,nickname,url,height,height_inches,weight,reach,stance,is_orthodox,dob,record,record_wins,record_losses,record_draws
0,Thiago Santos,"""Marreta""",http://www.fightmetric.com/fighter-details/dea070ed4a2a8281,"6' 0""",72,185,76,Orthodox,1,"Jan 07, 1984",19-6-0,19,6,0
1,Eryk Anders,"""Ya Boi""",http://www.fightmetric.com/fighter-details/cad24459b28592ca,"6' 1""",73,185,75,Southpaw,0,"Apr 21, 1987",11-2-0,11,2,0
2,Alex Oliveira,"""Cowboy""",http://www.fightmetric.com/fighter-details/57b10fca4f9c9a7a,"5' 11""",71,170,76,Orthodox,1,"Feb 21, 1988",19-4-1 (2 NC),19,4,1
3,Carlo Pedersoli,"""Semento""",http://www.fightmetric.com/fighter-details/198994b47f395af0,"5' 11""",71,170,75,Southpaw,0,"Jun 08, 1993",11-2-0,11,2,0
4,Sam Alvey,"""Smile'N""",http://www.fightmetric.com/fighter-details/d156513a19acf856,"6' 2""",74,205,75,Southpaw,0,"May 06, 1986",33-11-0 (1 NC),33,11,0
5,Rogerio Nogueira,"""Minotouro""",http://www.fightmetric.com/fighter-details/73e09f837f3b5ecc,"6' 2""",74,205,75,Southpaw,0,"Jun 02, 1976",23-8-0,23,8,0
6,Renan Barao,"""The Baron""",http://www.fightmetric.com/fighter-details/2c99576fefe53c7c,"5' 6""",66,135,70,Orthodox,1,"Jan 31, 1987",36-7-0 (1 NC),36,7,0
7,Andre Ewell,"""Mr. Highlight""",http://www.fightmetric.com/fighter-details/5f6f049d54728e88,"5' 11""",71,135,76,Southpaw,0,"Jan 21, 1988",14-4-0,14,4,0
8,Randa Markos,"""Quiet Storm""",http://www.fightmetric.com/fighter-details/4a57ebb14315b251,"5' 4""",64,115,63,Orthodox,1,"Aug 10, 1985",8-7-1,8,7,1
9,Marina Rodriguez,,http://www.fightmetric.com/fighter-details/cd2c4d30c6e13b47,"5' 7""",67,115,67,Orthodox,1,"Apr 29, 1987",10-0-1,10,0,1
10,Charles Oliveira,"""Do Bronx""",http://www.fightmetric.com/fighter-details/07225ba28ae309b6,"5' 10""",70,155,74,Orthodox,1,"Oct 17, 1989",24-8-0 (1 NC),24,8,0
11,Christos Giagos,"""The Spartan""",http://www.fightmetric.com/fighter-details/de45aaae23dfa392,"5' 10""",70,155,71,Orthodox,1,"Jan 23, 1990",15-7-0,15,7,0
12,Francisco Trinaldo,"""Massaranduba""",http://www.fightmetric.com/fighter-details/a8283a4f415e1eb9,"5' 9""",69,155,70,Southpaw,0,"Aug 24, 1978",23-6-0,23,6,0
13,Evan Dunham,,http://www.fightmetric.com/fighter-details/e5c9de15bb58b1c6,"5' 10""",70,155,70,Southpaw,0,"Dec 18, 1981",18-8-1,18,8,1
14,Luis Henrique,"""KLB""",http://www.fightmetric.com/fighter-details/e5bda12faabfc850,"6' 2""",74,243,74,Orthodox,1,"Aug 21, 1993",10-5-0 (1 NC),10,5,0
15,Ryan Spann,"""Superman""",http://www.fightmetric.com/fighter-details/a67f5afa8d6a1b80,"6' 5""",77,205,81,Orthodox,1,"Aug 24, 1991",15-5-0,15,5,0
16,Augusto Sakai,,http://www.fightmetric.com/fighter-details/441eacbe20e0e80b,"6' 4""",76,265,--,Orthodox,1,"May 09, 1991",12-1-1,12,1,1
17,Chase Sherman,"""The Vanilla Gorilla""",http://www.fightmetric.com/fighter-details/01b352b6a9074d5c,"6' 4""",76,250,78,Orthodox,1,"Nov 16, 1989",11-6-0,11,6,0
18,Sergio Moraes,"""The Panther""",http://www.fightmetric.com/fighter-details/1bcaac2d99b90fce,"6' 0""",72,170,72,Orthodox,1,"Jul 23, 1982",14-4-1,14,4,1
19,Ben Saunders,"""Killa B""",http://www.fightmetric.com/fighter-details/484acc7b0f856ce9,"6' 2""",74,170,77,Orthodox,1,"Apr 13, 1983",22-10-2,22,10,2
20,Mayra Bueno Silva,"""Sheetara""",http://www.fightmetric.com/fighter-details/cc8c623cca88f54f,"5' 6""",66,135,--,Orthodox,1,"Aug 22, 1991",6-0-0,6,0,0
21,Gillian Robertson,"""The Savage""",http://www.fightmetric.com/fighter-details/38c7f72747f4f712,"5' 5""",65,125,63,,0,"May 17, 1995",5-3-0,5,3,0
22,Thales Leites,,http://www.fightmetric.com/fighter-details/cfb65863d5099327,"6' 1""",73,185,78,Orthodox,1,"Sep 06, 1981",28-9-0,28,9,0
23,Hector Lombard,,http://www.fightmetric.com/fighter-details/db1f2ed63b54b9a7,"5' 9""",69,185,71,Southpaw,0,"Feb 02, 1978",34-10-1 (2 NC),34,10,1
24,Elizeu Zaleski dos Santos,"""Capoeira""",http://www.fightmetric.com/fighter-details/8adcbd525fab8d9b,"5' 11""",71,170,73,Orthodox,1,"Dec 11, 1986",20-5-0,20,5,0
25,Luigi Vendramini,"""The Italian Stallion""",http://www.fightmetric.com/fighter-details/2f1a257d6777096d,"5' 8""",68,170,--,Orthodox,1,"Jan 16, 1996",8-1-0,8,1,0
26,Livinha Souza,"""The Brazilian Gangsta""",http://www.fightmetric.com/fighter-details/dab8cfbb6b1db10a,"5' 5""",65,115,--,Orthodox,1,"Mar 11, 1991",12-1-0,12,1,0
27,Alex Chambers,"""Astro Girl""",http://www.fightmetric.com/fighter-details/26b63bc5c0c1f65d,"5' 3""",63,115,63,,0,"Oct 25, 1978",5-5-0,5,5,0
28,Mark Hunt,"""Super Samoan""",http://www.fightmetric.com/fighter-details/eef9b891edbd4604,"5' 10""",70,265,72,Orthodox,1,"Mar 23, 1974",13-13-1 (1 NC),13,13,1
29,Aleksei Oleinik,"""The Boa Constrictor""",http://www.fightmetric.com/fighter-details/98c23cb6da5b3352,"6' 2""",74,240,80,Orthodox,1,"Jun 20, 1977",54-11-1,54,11,1
30,Jan Blachowicz,,http://www.fightmetric.com/fighter-details/99df7d0a2a08a8a8,"6' 2""",74,205,78,Orthodox,1,"Feb 24, 1983",23-7-0,23,7,0
31,Nikita Krylov,"""The Miner""",http://www.fightmetric.com/fighter-details/1091d4d957141094,"6' 3""",75,205,77,Orthodox,1,"Mar 07, 1992",25-6-0,25,6,0
32,Andrei Arlovski,"""The Pitbull""",http://www.fightmetric.com/fighter-details/3738e68d2261e60f,"6' 3""",75,240,77,Orthodox,1,"Feb 04, 1979",27-17-0 (1 NC),27,17,0
33,Shamil Abdurakhimov,"""Abrek""",http://www.fightmetric.com/fighter-details/2f5cbecbbe18bac4,"6' 3""",75,235,76,Orthodox,1,"Sep 02, 1981",19-4-0,19,4,0
34,Aleksei Kunchenko,,http://www.fightmetric.com/fighter-details/e2ccd9a9ace60de7,"5' 8""",68,170,70,Orthodox,1,"May 02, 1984",19-0-0,19,0,0
35,Thiago Alves,"""Pitbull""",http://www.fightmetric.com/fighter-details/31ee470ef5dc8d7f,"5' 9""",69,170,70,Orthodox,1,"Oct 03, 1983",27-13-0,27,13,0
36,Khalid Murtazaliev,,http://www.fightmetric.com/fighter-details/231cae8b77fbbcc1,"6' 0""",72,185,76,Orthodox,1,"Jul 15, 1993",14-2-0,14,2,0
37,CB Dollaway,"""The Doberman""",http://www.fightmetric.com/fighter-details/5d7bdab5e03e3216,"6' 2""",74,185,76,Orthodox,1,"Aug 10, 1983",18-10-0,18,10,0
38,Petr Yan,"""No Mercy""",http://www.fightmetric.com/fighter-details/d661ce4da776fc20,"5' 7""",67,135,67,Switch,0,"Feb 11, 1993",10-1-0,10,1,0
39,Jin Soo Son,,http://www.fightmetric.com/fighter-details/7c9c6a884be167fe,"5' 6""",66,135,69,Orthodox,1,"Apr 01, 1993",9-3-0,9,3,0
40,Rustam Khabilov,"""Tiger""",http://www.fightmetric.com/fighter-details/9b7694d064a8a0ad,"5' 8""",68,155,73,Orthodox,1,"Nov 04, 1986",23-3-0,23,3,0
41,Kajan Johnson,"""Ragin'""",http://www.fightmetric.com/fighter-details/633a45d131192ffe,"5' 11""",71,155,75,Orthodox,1,"Apr 21, 1984",23-14-1,23,14,1
42,Mairbek Taisumov,"""Beckan""",http://www.fightmetric.com/fighter-details/8f5c8850b2484173,"5' 9""",69,155,73,Orthodox,1,"Aug 08, 1988",27-5-0,27,5,0
