non_ufc_wins,non_ufc_draws,ufc_draws,avg_takedowns_att_per_min,avg_sig_strikes_per_min,avg_knockdowns_per_min,result,id,weight_lbs,avg_fight_duration_mins,avg_sig_strikes_att_per_min,avg_takedowns_per_min,age_days,elo,avg_submission_att_per_min,non_ufc_losses,is_orthodox,ufc_wins,height_inches,reach_inches,ufc_losses
-19,-1,0,0.0,0.0,0.0,1,0,-20,0.0,0.0,0.0,272,275.56476162061836,0.0,-1,-1,0,1,0,0
-28,-1,0,0.0,0.0,0.0,1,1,15,0.0,0.0,0.0,-851,-54.180963534867146,0.0,-12,1,0,-3,-5,0
-11,-1,0,0.0,0.0,0.0,1,2,15,0.0,0.0,0.0,466,0.0,0.0,-2,0,0,3,5,0
0,0,0,-0.8,-0.6,0.0,1,3,-25,-14.99999,-1.1333333333333333,-0.2,1655,90.0979344072241,-0.2,1,0,-1,3,2,0
-1,-1,0,0.0,0.0,0.0,1,4,15,0.0,0.0,0.0,69,45.79454685387077,0.0,2,-1,0,3,6,0
-8,0,0,0.0,0.0,0.0,1,5,35,0.0,0.0,0.0,2953,-140.10376231783948,0.0,4,0,0,3,3,0
-23,0,0,-0.21333333333333337,0.3733333333333333,0.0,1,6,-25,-10.0,-0.05333333333333323,-0.13333333333333336,1887,-144.61457210500203,-0.04,-1,1,0,0,-3,0
4,0,0,-0.5333333333333333,-4.266666666666667,-0.06666666666666667,1,7,15,-14.99999,-10.2,-0.4,500,11.775383487427234,0.0,-3,0,-1,2,2,0
-17,0,0,0.0,0.0,0.0,1,8,15,0.0,0.0,0.0,1755,135.26361034381375,0.0,-3,0,0,-1,1,0
-17,0,0,1.9333333333333333,1.1333333333333333,0.0,1,9,25,14.99999,4.4,0.26666666666666666,-2919,56.77222428663413,0.26666666666666666,-7,0,1,0,4,1
14,1,0,0.0,0.6,0.0,1,10,0,14.99999,0.9333333333333333,0.0,-721,45.3658132311773,0.0,8,-1,0,-1,2,1
21,0,0,-0.048606289058625185,-10.879873028469397,-1.1764705882352942,1,11,-15,13.125,-12.936216645174092,0.3372681281618887,-2775,140.48723436959835,0.06745362563237774,2,-1,0,-2,-3,1
11,0,0,0.0,0.0,0.0,1,12,25,0.0,0.0,0.0,2045,0.0,0.0,-1,0,0,0,-2,0
0,0,0,0.0,0.0,0.0,1,13,0,0.0,0.0,0.0,711,0.0,0.0,1,0,0,-1,-1,0
-4,0,0,0.0,0.0,0.0,1,14,15,0.0,0.0,0.0,143,251.01619622852957,0.0,1,-1,0,0,3,0
3,0,0,0.0,0.0,0.0,1,15,-15,0.0,0.0,0.0,-2703,0.0,0.0,-2,-1,0,-2,0,0
-6,0,0,0.5566064861756382,1.5944551218995442,-0.1534526854219949,1,16,-15,-3.6999999999999997,-4.053330104874469,0.35502958579881655,-579,-13.021697004746102,0.0,-3,0,0,-3,-4,0
-22,-1,0,0.39850374064837907,8.217556109725686,0.5985037406483791,1,17,30,-21.65833333333333,13.402593516209475,0.17925187032418954,2844,105.57048931901613,-0.04,0,0,1,5,9,0
-9,0,0,1.2993262752646777,4.504331087584216,0.0,1,18,-15,11.544434444444445,9.528392685274301,0.6063522617901829,-3267,342.32978095040744,0.2598652550529355,-8,0,2,-3,3,1
-10,-1,0,0.0058319039451114885,-2.3287592910234416,0.0,1,19,0,-5.283333333333333,-4.9616923956546595,0.10291595197255575,-1675,200.0,0.24208118925100058,-7,0,1,-1,1,-1
-9,-2,0,0.0,0.0,0.0,1,20,15,0.0,0.0,0.0,-6,-224.65009052621883,0.0,-2,0,0,2,4,0
17,0,0,-0.557707203718048,-2.9648304832270753,-0.09295120061967467,1,21,0,-7.291666666666666,-8.689373175236849,-0.18590240123934934,-313,0.05098149044579259,-0.09295120061967467,7,0,-1,-1,-6,0
-4,1,0,-0.2718006795016987,-5.164212910532276,0.0,1,22,0,-7.358323333333334,-13.725934314835786,-0.13590033975084936,2906,-148.05061467040832,-0.40770101925254815,0,1,-2,2,0,0
-15,-1,0,-0.10238907849829351,-2.5597269624573378,-0.10238907849829351,1,23,-10,-9.766656666666668,-3.5836177474402726,0.0,2121,-368.64722836117744,0.0,-4,1,-1,-1,-5,-1
2,0,0,1.133916770019972,13.136292440360776,0.41189931350114417,1,24,40,-4.969444444444444,25.524306950582567,0.7220174565188278,888,-56.48936363528742,-0.10178117048346057,-1,0,0,2,6,1
-10,0,0,0.0,0.0,0.0,1,25,0,0.0,0.0,0.0,-776,-123.26675674861576,0.0,-3,0,0,2,4,0
9,1,0,-0.5814367998097547,-3.6252392233537045,-0.16430853491556366,1,26,-30,4.269444444444444,-11.945985547011537,0.018154719012464737,-3649,128.10936927941202,-0.10348745027288753,-3,1,-1,-7,-9,0
10,0,0,1.1104879416713405,9.186763881099271,0.0,1,27,0,9.905545555555555,25.137408861469435,0.5047672462142457,-2689,7.842921319953803,0.6057206954570948,-1,-1,2,-3,2,1
-31,0,0,-0.8664259927797835,-5.631768953068592,0.0,1,28,-15,-9.233323333333333,-13.104693140794225,-0.3249097472924188,-1192,25.248021054332185,0.0,-9,1,-1,1,7,-1
-10,-1,0,0.0,-3.4232741617357005,0.0,1,29,-10,-12.183333333333334,-10.779881656804733,0.0,-2889,-3.1001018905469664,0.0,0,-1,-1,1,4,1
0,0,0,0.09326219433358907,0.5571597265917929,0.10050251256281408,1,30,0,0.2333333333333325,-0.4294198264047502,-0.007240318229224996,-2047,114.09405460825678,0.10050251256281408,-1,0,1,3,6,-1
1,0,0,0.0,-3.8,0.0,1,31,0,-14.99999,-10.0,0.0,904,-61.412028981225376,0.0,-1,0,0,-4,-3,-1
7,0,0,-0.3333333333333333,-1.7333333333333334,0.0,1,32,0,-14.99999,-4.2,-0.06666666666666667,-1925,-288.94328035866783,0.0,3,0,-1,3,3,0
-4,-1,0,0.07073830691921146,1.3177425589485892,0.0,1,33,0,5.616666666666666,1.4406648627754155,-0.13026671820641672,-1078,-62.32840524802327,-0.3610359489756475,1,0,-1,-1,0,1
-14,0,0,0.6322444678609063,3.4141201264488936,0.0,1,34,15,7.908323333333334,8.977871443624869,0.12644889357218125,-80,38.01939875373091,0.0,-5,-1,1,-2,0,1
13,0,0,0.0,0.0,0.0,1,35,-15,0.0,0.0,0.0,-1008,0.0,0.0,4,-1,0,0,2,0
-8,-1,0,0.6732337487031314,7.817958701011836,0.1552895503073439,1,36,15,3.2125000000000004,22.287798837559546,0.026037773736877906,131,-117.21884109255814,0.07787904818215285,-1,-1,0,2,4,2
0,0,0,0.6,1.2666666666666666,0.0,1,37,0,0.0,-0.13333333333333286,0.13333333333333333,711,36.04862350559438,-0.06666666666666667,1,0,1,-1,-1,-2
23,0,0,1.506629853086546,-1.1466748474622506,0.0,1,38,25,-2.0249999999999986,-0.9394280260422008,0.6667348399631864,-1887,278.61864882572763,0.35177421004192655,1,-1,1,0,3,0
6,0,0,0.0,0.0,0.0,1,39,-20,0.0,0.0,0.0,-1948,100.0,0.0,4,0,0,2,3,0
26,1,0,0.8188842831376768,1.8323323735088444,0.0,1,40,10,13.669444444444444,10.36405404550201,-0.12310223712938645,-1025,-63.90119668103512,-0.37371135651678644,-1,1,0,-4,-7,1
2,0,0,0.0,20.816326530612244,2.4489795918367347,1,41,0,0.8166566666666667,24.489795918367346,0.0,191,-402.999699077317,0.0,3,0,1,1,2,0
-6,0,0,0.0,0.0,0.0,1,42,-15,0.0,0.0,0.0,223,100.0,0.0,0,0,0,-1,-6,0
-5,0,0,1.5027682573161085,16.214078565779065,0.15818613234906406,1,43,30,12.643323333333335,43.50118639599261,0.47455839704719216,-66,49.07897484708769,0.47455839704719216,1,0,2,3,5,3
2,0,0,0.0,0.0,0.0,1,44,-34,0.0,0.0,0.0,-591,-61.11005713838563,0.0,0,1,0,0,-3,0
-21,0,0,-0.9164545193965201,10.749716343767858,0.2705749718151071,1,45,15,-3.005,19.750129493271952,0.2166378160837692,2775,-136.36228637694876,-0.4809233728759218,-2,1,-1,2,3,0
-16,0,0,-0.11243781094527365,-0.5412935323383085,0.0,1,46,15,9.416666666666668,1.517412935323383,-0.17910447761194032,1293,-93.68741026481541,0.0,-5,0,0,1,-1,0
-23,0,0,0.015843449911218332,-1.4763664788007587,0.0,1,47,-15,1.9805555555555552,-5.021788494444664,0.24048736612397353,-266,269.5748082120124,0.11225444340505145,-10,0,1,-2,2,-2
10,0,0,-0.6132102517057509,-3.2062381744166046,-0.14018691588785048,1,48,0,-4.416666666666666,-10.460696061005677,-0.28037383177570097,-1875,-137.92102514121325,0.7361963190184049,7,1,-1,4,6,-1
-5,0,0,-1.019830028328612,0.9723519078291423,0.0,1,49,0,-2.9000000000000004,1.9304603795084434,-0.16997167138810196,-241,179.31175235841442,-0.509915014164306,-7,-1,-2,-2,-5,1
-19,-7,0,0.0,0.0,0.0,1,50,-10,0.0,0.0,0.0,1066,0.0,0.0,-8,1,0,-1,2,0
