"","Name","Birth_Date","Age","Birth_Place","Country","Height","Weight","Association","Class","Fighter_id","NickName","Feet","Inch"
"1","Alex Oliveira",1988-02-21,"30","Tres Rios, Rio de Janeiro","Brazil",13,"38","ATS Team Tres Rios","Welterweight","Cowboy","Cowboy","5","11"
"2","Antonio Rogerio Nogueira",1976-06-02,"42","Vitoria da Conquista, Bahia","Brazil",16,"57","Team Nogueira","Light Heavyweight","Minotouro","Minotouro","6","2"
"3","Andre Ewell",1988-01-21,"30","Riverside, California","United States",13,"14","Apex MMA","Bantamweight","Mr. Highlight","Mr. Highlight","5","11"
"4","Randa Markos",1985-08-10,"33","Windsor, Ontario","Canada",7,"4","Michigan Top Team","Strawweight","Quiet Storm","Quiet Storm","5","5"
"5","Charles Oliveira",1989-10-17,"28","Guaruja, Sao Paulo","Brazil",12,"29","Chute Boxe Diego Lima / Gold Team","Lightweight","do Bronx","do Bronx","5","10"
"6","Francisco Trinaldo",1978-08-24,"40","Brasilia, Federal District","Brazil",10,"29","Evolucao Thai","Lightweight","Massaranduba","Massaranduba","5","8"
"7","Ryan Spann",1991-08-24,"27","Beaumont, Texas","United States",19,"57","Performance Evolution Training Center","Light Heavyweight","Superman","Superman","6","5"
"8","Augusto Sakai",1991-05-19,"27","Curitiba, Parana","Brazil",18,"104","Gile Ribeiro Team / Noguchi Team","Heavyweight","character(0)","character(0)","6","4"
"9","Sergio Moraes",1982-07-23,"36","Sao Paulo, Sao Paulo","Brazil",14,"38","Evolucao Thai","Welterweight","The Panther","The Panther","6","0"
"10","Mayra Bueno Silva",1991-08-22,"27","Uberlandia, Minas Gerais","Brazil",9,"9","Chute Boxe Diego Lima / Chute Boxe Team Cyborg","Flyweight","Sheetara","Sheetara","5","7"
"11","Thales Leites",1981-09-06,"37","Niteroi, Rio de Janeiro","Brazil",15,"50","Nova Uniao","Middleweight","character(0)","character(0)","6","1"
"12","Elizeu Zaleski dos Santos",1986-11-12,"31","Francisco Beltrao, Parana","Brazil",13,"38","CM System","Welterweight","Capoeira","Capoeira","5","11"
"13","Livinha Souza",1991-03-11,"27","Araraquara, Sao Paulo","Brazil",6,"4","Team Maximo / Atos Brazilian Jiu-Jitsu","Strawweight","The Brazilian Gangster","The Brazilian Gangster","5","4"
"14","Thiago Santos",1984-01-07,"34","Rio de Janeiro, Rio de Janeiro","Brazil",16,"50","Tata Fight Team","Middleweight","Marreta","Marreta","6","2"
"15","Jan Blachowicz",1983-02-24,"35","Cieszyn","Poland",16,"57","Berkut WCA Fight Team","Light Heavyweight","character(0)","character(0)","6","2"
"16","Shamil Abdurakhimov",1981-09-02,"37","Makhachkala, Dagestan","Russia",17,"100","Peresvet FT","Heavyweight","Abrek","Abrek","6","3"
"17","Alexey Kunchenko",1984-05-02,"34","Tyumen","Russia",10,"38","New Stream / Storm Fight Team / Boets MMA","Welterweight","character(0)","character(0)","5","8"
"18","Khalid Murtazaliev",NA,NA,"Dagestan","Russia",13,"50","Krepost","Middleweight","character(0)","character(0)","5","11"
"19","Petr Yan",1993-02-11,"25","Omsk","Russia",9,"14","Tiger Muay Thai","Bantamweight","No Mercy","No Mercy","5","7"
"20","Rustam Khabilov",1986-11-04,"31","Makhachkala, Republic of Dagestan","Russia",10,"29","Jackson-Wink MMA","Lightweight","Tiger","Tiger","5","8"
"21","Mairbek Taisumov",1988-08-08,"30","Grozny, Chechnya","Russia",11,"29","Team Taisumov / Fight Club Berkut","Lightweight","Beckan","Beckan","5","9"
"22","Magomed Ankalaev",1992-06-02,"26","Makhachkala, Dagestan","Russia",17,"57","Akhmat Fight Team","Light Heavyweight","character(0)","character(0)","6","3"
"23","Jordan Johnson",1988-11-18,"29","San Diego, California","United States",16,"57","MMA Lab","Light Heavyweight","character(0)","character(0)","6","2"
"24","Ramazan Emeev",1987-05-20,"31","Makhachkala, Dagestan","Russia",12,"38","American Top Team","Welterweight","Gorets","Gorets","5","10"
"25","Merab Dvalishvili",1991-01-10,"27","Tbilisi","Georgia",8,"14","Serra-Longo Fight Team","Bantamweight","character(0)","character(0)","5","6"
"26","Alexey Oleynik",1977-06-25,"41","Moscow","Russia",16,"75","Archangel Michael / Ekaterinburg","Heavyweight","The Boa Constrictor","The Boa Constrictor","6","2"
"27","Jessica Andrade",1991-09-25,"27","Umuarama, Parana","Brazil",4,"4","Parana Vale Tudo","Strawweight","Bate Estaca","Bate Estaca","5","2"
"28","Zabit Magomedsharipov",1991-03-01,"27","Makhachkala, Dagestan","Russia",15,"20","Ricardo Almeida Jiu-Jitsu","Featherweight","character(0)","character(0)","6","1"
"29","Jimmie Rivera",1989-06-29,"29","Ramsey, New Jersey","United States",6,"14","Team Tiger Schulmann","Bantamweight","El Terror","El Terror","5","4"
"30","Tatiana Suarez",1990-12-19,"27","Covina, California","United States",7,"4","Millennia MMA","Strawweight","character(0)","character(0)","5","5"
"31","Aljamain Sterling",1989-07-31,"29","Cortland, New York","United States",9,"14","Serra-Longo Fight Team","Bantamweight","Funk Master","Funk Master","5","7"
"32","Geoff Neal",1990-08-28,"28","Harker Heights, Texas","United States",13,"38","Fortis MMA / StrKings","Welterweight","Handz of Steel","Handz of Steel","5","11"
"33","Darren Stewart",1990-12-30,"27","London, Greater London","England",14,"50","The MMA Clinic","Middleweight","The Dentist","The Dentist","6","0"
"34","Diego Sanchez",1981-12-31,"36","Albuquerque, New Mexico","United States",12,"38","Jackson-Wink MMA","Welterweight","The Nightmare","The Nightmare","5","10"
"35","Jim Miller",1983-08-30,"35","Sparta, New Jersey","United States",10,"29","Miller Brothers MMA","Lightweight","A10","A10","5","8"
"36","Irene Aldana",1988-03-26,"30","Guadalajara, Jalisco","Mexico",11,"14","Lobo Gym MMA","Bantamweight","character(0)","character(0)","5","9"
"37","Jarred Brooks",1993-05-02,"25","Warsaw, Indiana","United States",5,"9","Mash Fight Team","Flyweight","The Monkey God","The Monkey God","5","3"
"38","Tyron Woodley",1982-04-17,"36","St. Louis, Missouri","United States",11,"38","American Top Team Evolution","Welterweight","The Chosen One","The Chosen One","5","9"
"39","Michael Johnson",1986-06-04,"32","Springfield, Missouri","United States",12,"20","Hard Knocks 365","Featherweight","The Menace","The Menace","5","10"
"40","Cortney Casey-Sanchez",1987-05-05,"31","Phoenix, Arizona","United States",8,"4","Sanchez BJJ and Finess","Strawweight","Cast Iron","Cast Iron","5","6"
"41","Bryan Barberena",1989-05-03,"29","Minneapolis, Minnesota","United States",14,"29","MMA Lab","Lightweight","Bam Bam","Bam Bam","6","0"
"42","Deiveson Figueiredo",1987-12-18,"30","Soure, Para","Brazil",7,"9","Marajo Brothers Team","Flyweight","Daico / Deus da Guerra","Daico / Deus da Guerra","5","5"
"43","Eryk Anders",1987-04-21,"31","Birmingham, Alabama","United States",15,"50","Spartan Fitness","Middleweight","Ya Boy","Ya Boy","6","1"
"44","James Krause",1986-06-04,"32","Lee's Summit, Missouri","United States",16,"29","Glory MMA and Fitness","Lightweight","The James Krause","The James Krause","6","2"
"45","Cory Sandhagen",NA,NA,"Aurora, Colorado","United States",13,"20","Elevation Fight Team","Featherweight","character(0)","character(0)","5","11"
"46","Andrew Sanchez",1988-04-08,"30","St. Louis, Missouri","United States",15,"50","K Dojo Warrior Tribe","Middleweight","El Dirte","El Dirte","6","1"
"47","Mickey Gall",1992-01-22,"26","Green Brook, New Jersey","United States",16,"38","Miller Brothers MMA","Welterweight","character(0)","character(0)","6","2"
"48","Joanne Calderwood",1986-12-23,"31","Glasgow","Scotland",8,"9","Tristar Gym","Flyweight","JoJo","JoJo","5","6"
"49","Drew Dober",1988-10-19,"29","Omaha, Nebraska","United States",10,"29","Elevation Fight Team","Lightweight","character(0)","character(0)","5","8"
"50","Rani Yahya",1984-12-09,"33","Brasilia, Federal District","Brazil",8,"14","Constrictor Team","Bantamweight","character(0)","character(0)","5","6"
"51","Justin Gaethje",1988-11-14,"29","Safford, Arizona","United States",13,"29","Genesis Training Center","Lightweight","The Highlight","The Highlight","5","11"
"52","Henry Cejudo",1987-02-09,"31","Phoenix, Arizona","United States",6,"9","Fight Ready","Flyweight","The Messenger","The Messenger","5","4"
"53","Renato Carneiro",1989-05-21,"29","Brasilia, Federal District","Brazil",13,"20","First Fight Center / American Top Team","Featherweight","Moicano","Moicano","5","11"
"54","J.J. Aldrich",1992-06-11,"26","Westminster, Colorado","United States",7,"5","Freedom Fighters / 303 Training Center","Strawweight","character(0)","character(0)","5","5"
"55","Pedro Munhoz",1986-09-07,"32","Sao Paulo, Sao Paulo","Brazil",8,"14","American Top Team","Bantamweight","The Young Punisher","The Young Punisher","5","6"
"56","Ricky Simon",1992-08-31,"26","Vancouver, Washington","United States",8,"14","Gracie Barra Portland","Bantamweight","character(0)","character(0)","5","6"
"57","Ricardo Ramos",1995-08-01,"23","Campinas, Sao Paulo","Brazil",11,"14","Black Sheep MMA (Brazil)","Bantamweight","character(0)","character(0)","5","9"
"58","Sheymon Moraes",1990-10-11,"27","Sao Goncalo, Rio de Janeiro","Brazil",10,"20","Black House","Featherweight","character(0)","character(0)","5","8"
"59","Alex Perez",1992-03-21,"26","Lemoore, California","United States",8,"9","Team Oyama","Flyweight","character(0)","character(0)","5","6"
"60","Weili Zhang",1989-08-13,"29","Hebei","China",6,"4","Black Tiger Fight Club","Strawweight","character(0)","character(0)","5","4"
"61","Marlon Vera",1992-12-02,"25","Chone","Ecuador",10,"14","Team Oyama","Bantamweight","Chito","Chito","5","8"
"62","T.J. Dillashaw",1986-02-07,"32","Angels Camp, California","United States",8,"14","The Treigning Lab","Bantamweight","character(0)","character(0)","5","6"
"63","Jose Aldo",1986-09-09,"32","Manaus, Amazonas","Brazil",9,"20","Nova Uniao","Featherweight","Scarface","Scarface","5","7"
"64","Joanna Jedrzejczyk",1987-08-18,"31","Olsztyn","Poland",8,"4","American Top Team","Strawweight","character(0)","character(0)","5","6"
"65","Alexander Hernandez",1992-10-01,"26","San Antonio, Texas","United States",11,"29","Ohana Academy","Lightweight","The Great","The Great","5","9"
"66","Jordan Mein",1989-10-10,"28","Lethbridge, Alberta","Canada",14,"38","Canadian Martial Arts Centre","Welterweight","Young Gun","Young Gun","6","0"
"67","Hakeem Dawodu",1991-07-02,"27","Calgary, Alberta","Canada",10,"20","Champion's Creed MMA / Mike Miles Muay Thai and Kickboxing","Featherweight","Mean","Mean","5","8"
"68","Islam Makhachev",1991-09-27,"27","Makhachkala, Dagestan","Russia",12,"29","Eagles MMA / American Kickboxing Academy","Lightweight","character(0)","character(0)","5","10"
"69","Ion Cutelaba",1993-12-14,"24","Chisinau","Moldova, Republic of",15,"57","Timoshkov Sport Club / CSA Moldova","Light Heavyweight","The Hulk","The Hulk","6","1"
"70","John Makdessi",1985-05-03,"33","Laval, Quebec","Canada",10,"29","Roufusport","Lightweight","The Bull","The Bull","5","8"
"71","Katlyn Chookagian",1988-12-28,"29","Jersey City, New Jersey","United States",11,"9","Team Renzo Gracie / AllStar BJJ","Flyweight","Blonde Fighter","Blonde Fighter","5","9"
"72","Dustin Ortiz",1988-12-25,"29","Franklin, Tennessee","United States",7,"9","Combat Sports Academy","Flyweight","character(0)","character(0)","5","5"
"73","Nina Ansaroff",1985-12-03,"32","Fort Lauderdale, Florida","United States",7,"5","American Top Team","Strawweight","The Strina","The Strina","5","5"
"74","Devin Powell",NA,NA,"South Berwick, Maine","United States",14,"29","Nostos MMA","Lightweight","character(0)","character(0)","6","0"
"75","Dustin Poirier",1989-01-19,"29","Carencro, Louisiana","United States",11,"29","American Top Team","Lightweight","The Diamond","The Diamond","5","9"
"76","Corey Anderson",1989-09-22,"29","Rockton, Illinois","United States",17,"57","The Kennel Fight Club","Light Heavyweight","Overtime","Overtime","6","3"
"77","Abu Azaitar",1986-03-10,"32","Rabat","Morocco",11,"50","Team Azaitar","Middleweight","Gladiator","Gladiator","5","9"
"78","Marcin Tybura",1985-11-09,"32","Uniejow","Poland",17,"89","Jackson-Wink MMA","Heavyweight","Tybur","Tybur","6","3"
"79","Danny Roberts",1987-07-14,"31","Liverpool, Merseyside","England",15,"38","Team McHale","Welterweight","Hot Chocolate","Hot Chocolate","6","1"
"80","Nasrat Haqparast",1995-08-22,"23","Kandahar","Afghanistan",10,"29","Tristar Gym","Lightweight","character(0)","character(0)","5","8"
"81","Damir Hadzovic",1986-08-08,"32","Gorazde","Bosnia and Herzegovina",13,"29","Arte Suave Copenhagen","Lightweight","The Bosnian Bomber","The Bosnian Bomber","5","11"
"82","Bartosz Fabinski",1986-04-26,"32","Warsaw","Poland",14,"49","Berkut WCA Fight Team","Middleweight","character(0)","character(0)","6","0"
"83","Nad Narimani",1987-04-14,"31","Bristol","England",10,"20","Iron Mann MMA","Featherweight","Smiler","Smiler","5","8"
"84","Aleksandar Rakic",1992-02-06,"26","Vienna","Austria",19,"57","Gym 23 / American Top Team","Light Heavyweight","character(0)","character(0)","6","5"
